Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
18300,85,660260756,-400,5310,62,1023,993,900
18300,505,1194953865,11700,6180,62,1023,977,2700
18400,295,485560280,-3570,5310,62,1023,995,900
18500,225,894429689,-2000,5600,62,1023,979,900
18500,155,959997301,-380,5600,62,1023,980,900
18600,435,402724286,3450,10000,62,1023,977,1797
18600,575,593209441,10970,5890,62,1023,1223,2700
18700,365,364228444,-8240,5310,62,1023,986,900
18800,85,1947346619,50,5310,62,1023,1000,900
18800,505,1194953865,11250,6180,62,1023,990,2700
18900,295,485560280,-3120,5310,62,1023,979,900
19000,225,894429689,-1550,5600,62,1023,992,900
19000,155,221558440,60,5600,62,1023,981,900
19000,575,593209441,10530,5890,62,1023,1228,2700
19100,435,402724286,3460,9560,62,1023,993,1797
19200,365,364228444,-7800,5310,62,1023,977,900
19300,85,1947346619,490,5310,62,1023,996,900
19300,505,1194953865,10800,6180,62,1023,994,2700
19400,295,270744729,-2680,5310,62,1023,994,900
19400,575,593209441,10090,5890,62,1023,1223,2700
19500,225,894429689,-1110,5600,62,1023,982,900
19500,155,221558440,500,5600,62,1023,992,900
19600,435,1063958031,3460,9110,62,1023,975,1797
19700,365,364228444,-7360,5310,62,1023,988,900
19800,85,1947346619,930,5310,62,1023,981,900
19800,575,1633108117,9660,5890,62,1023,1210,2700
19800,505,1194953865,10360,6180,62,1023,984,2700
19900,295,270744729,-2240,5310,62,1023,988,900
20000,225,894429689,-660,5600,62,1023,996,900
20000,155,221558440,950,5600,62,1023,994,900
20100,435,1063958031,3460,8660,62,1023,981,1797
20200,365,364228444,-6920,5310,62,1023,999,900
20200,575,1633108117,9220,5890,62,1023,1215,2700
20300,85,1947346619,1380,5310,62,1023,981,900
20300,505,1194953865,9920,6180,62,1023,985,2700
20400,295,270744729,-1790,5310,62,1023,997,900
20500,225,894429689,-220,5600,62,1023,976,900
20500,155,221558440,1390,5600,62,1023,986,900
20600,435,1063958031,3460,8220,62,1023,997,1797
20600,575,1633108117,8780,5890,62,1023,1210,2700
20700,365,364228444,-6470,5310,62,1023,999,900
20800,85,1947346619,1820,5310,62,1023,995,900
20800,505,2114738097,9470,6180,62,1023,985,2700
20900,295,270744729,-1350,5310,62,1023,993,900
21000,225,2007905771,220,5600,62,1023,986,900
21000,155,221558440,1830,5600,62,1023,978,900
21000,575,1633108117,8350,5890,62,1023,1219,2700
21100,435,1063958031,3460,7770,62,1023,987,1797
21200,365,364228444,-6030,5310,62,1023,999,900
21300,85,1947346619,2260,5310,62,1023,987,900
21300,435,1063958031,3470,7600,62,1023,927,1797
21300,505,2114738097,9030,6180,62,1023,991,2700
21400,295,270744729,-900,5310,62,1023,984,900
21400,575,1633108117,7910,5890,62,1023,1229,2700
21500,225,2007905771,660,5600,62,1023,985,900
21500,155,221558440,2280,5600,62,1023,978,900
21500,435,1063958031,3470,7440,62,1023,843,1797
21700,365,1469834481,-5580,5310,62,1023,994,900
21700,435,1063958031,3470,7300,62,1023,753,1797
21800,85,822890675,2710,5310,62,1023,979,900
21800,575,1633108117,7470,5890,62,1023,1223,2700
21800,505,2114738097,8590,6180,62,1023,988,2700
21900,295,270744729,-460,5310,62,1023,979,900
21900,435,1063958031,3470,7180,62,1023,664,1797
22000,225,2007905771,1110,5600,62,1023,984,900
22000,155,1610120709,2720,5600,62,1023,979,900
22100,435,1063958031,3470,7070,62,1023,575,1797
22200,365,1469834481,-5140,5310,62,1023,997,900
22200,575,791698927,7030,5890,62,1023,1221,2700
22300,85,822890675,3150,5310,62,1023,977,900
22300,435,1063958031,3470,6980,62,1023,485,1797
22300,505,2114738097,8140,6180,62,1023,980,2700
22400,295,631704567,-20,5310,62,1023,997,900
22500,225,2007905771,1550,5600,62,1023,996,900
22500,155,1610120709,3170,5600,62,1023,987,900
22500,435,1063958031,3470,6900,62,1023,400,1797
22600,575,791698927,6590,5890,62,1023,1214,2700
22700,365,1469834481,-4700,5310,62,1023,990,900
22700,435,1063958031,3470,6840,62,1023,311,1797
22800,85,822890675,3590,5310,62,1023,977,900
22800,505,2114738097,7700,6180,62,1023,985,2700
22900,295,631704567,430,5310,62,1023,999,900
22900,435,1063958031,3470,6800,62,1023,221,1797
23000,225,2007905771,1990,5600,62,1023,980,900
23000,155,1610120709,3610,5600,62,1023,981,900
23000,575,791698927,6160,5890,62,1023,1208,2700
